time,wind_speed_10m,temperature_2m,cloud_cover,relative_humidity_2m,surface_pressure,apparent_temperature,precipitation,vapour_pressure_deficit
2021-01-06 22:00:00,7.172949,21.55,100.0,92.60315,1014.1064,24.520903,0.8,0.19021606
2021-01-06 23:00:00,5.6920996,21.65,100.0,91.75465,1014.00684,24.811275,0.8,0.21333718
2021-01-07 00:00:00,3.5455887,21.6,98.0,93.755646,1013.8067,25.228376,0.4,0.16106606
2021-01-07 01:00:00,3.0758414,21.5,100.0,95.207,1013.40686,25.274931,0.3,0.122876406
2021-01-07 02:00:00,3.2399998,21.6,100.0,93.755646,1012.808,25.272942,0.3,0.16106606
2021-01-07 03:00:00,6.2145634,21.95,100.0,90.647026,1012.60986,25.085867,0.4,0.24645948
2021-01-07 04:00:00,10.587917,22.1,100.0,86.81649,1012.6105,24.320505,0.2,0.35060167
2021-01-07 05:00:00,11.631956,22.25,100.0,86.83043,1013.2104,24.392956,0.2,0.35343456
2021-01-07 06:00:00,11.503113,22.3,100.0,86.566666,1014.1095,24.461699,0.2,0.36161065
2021-01-07 07:00:00,4.5536795,21.6,100.0,91.75162,1014.406,24.901909,0.3,0.21276498
2021-01-07 08:00:00,5.0142193,21.9,100.0,90.924,1015.2063,25.210962,0.4,0.2384336
2021-01-07 09:00:00,5.0528407,22.4,100.0,87.92469,1015.7078,25.679293,0.4,0.3270228
2021-01-07 10:00:00,6.3690495,22.8,96.0,86.61381,1015.51,25.963854,0.1,0.37141538
2021-01-07 11:00:00,9.0,23.2,46.0,84.542145,1015.0122,25.979767,0.0,0.43938732
2021-01-07 12:00:00,11.019764,23.35,48.0,83.52157,1014.2138,25.80936,0.1,0.47265434
2021-01-07 13:00:00,12.819235,23.25,94.0,82.99579,1013.115,25.34493,0.1,0.4848132
2021-01-07 14:00:00,15.716793,22.75,100.0,85.281654,1012.61334,24.397512,0.1,0.40715432
2021-01-07 15:00:00,16.203999,22.3,96.0,86.566666,1012.6114,23.776154,0.5,0.36161065
2021-01-07 16:00:00,15.815435,22.15,99.0,86.01726,1012.8105,23.558556,0.2,0.37299204
2021-01-07 17:00:00,14.561099,21.85,99.0,87.60531,1013.40857,23.44175,0.3,0.32464623
2021-01-07 18:00:00,12.979984,21.7,97.0,88.13773,1013.9072,23.497782,0.4,0.307873
2021-01-07 19:00:00,4.73506,21.85,100.0,89.52614,1014.1077,25.049358,0.4,0.27432656
2021-01-07 20:00:00,6.12,21.9,100.0,88.97757,1014.7069,24.87219,0.2,0.28957725
2021-01-07 21:00:00,6.849467,21.75,100.0,88.41581,1014.806,24.491196,0.2,0.30157185
2021-01-07 22:00:00,7.928178,21.6,100.0,87.85593,1014.8054,24.060951,0.4,0.31327248
2021-01-07 23:00:00,7.9526596,21.45,100.0,88.391,1014.9047,23.883099,0.3,0.2967384
2021-01-08 00:00:00,9.885262,21.2,100.0,89.477196,1015.0036,23.327122,0.3,0.2648921
2021-01-08 01:00:00,11.885453,21.05,100.0,90.586105,1014.7034,22.9099,0.4,0.23480773
2021-01-08 02:00:00,10.685391,21.1,100.0,92.578835,1014.3039,23.332052,1.4,0.18566537
2021-01-08 03:00:00,13.392774,21.3,100.0,92.303566,1013.9053,23.21211,1.1,0.19492316
2021-01-08 04:00:00,14.658676,21.55,100.0,89.503624,1014.1064,23.152529,1.0,0.26993656
2021-01-08 05:00:00,16.179985,21.6,100.0,88.67825,1014.5058,22.9312,0.9,0.2920556
2021-01-08 06:00:00,19.161337,21.45,100.0,89.49605,1015.3042,22.34655,0.9,0.26848745
2021-01-08 07:00:00,12.594856,21.45,98.0,91.17641,1015.8035,23.453259,0.5,0.22553086
2021-01-08 08:00:00,14.693999,21.5,100.0,92.88694,1017.00226,23.37413,1.3,0.18236113
2021-01-08 09:00:00,14.168641,22.0,100.0,91.21144,1017.50397,24.052963,1.8,0.23228979
2021-01-08 10:00:00,22.961115,21.7,100.0,91.47461,1017.60254,22.342834,2.3,0.22125673
2021-01-08 11:00:00,29.671074,21.45,100.0,87.02652,1017.7012,20.59476,3.9,0.33162355
2021-01-08 12:00:00,31.575506,21.25,100.0,87.27989,1017.10095,20.04534,4.0,0.32119656
2021-01-08 13:00:00,29.973106,20.9,100.0,86.433304,1016.50037,19.694004,4.8,0.33531404
2021-01-08 14:00:00,29.07989,20.4,100.0,86.92958,1016.3984,19.140991,4.2,0.31327415
2021-01-08 15:00:00,28.623962,20.1,100.0,85.81386,1016.49664,18.683746,2.8,0.3337927
2021-01-08 16:00:00,29.239891,19.75,100.0,86.86901,1016.69507,18.17817,1.4,0.30235183
2021-01-08 17:00:00,29.738703,19.8,100.0,82.58566,1017.29425,17.833576,0.7,0.40224564
2021-01-08 18:00:00,30.85307,19.6,100.0,83.35196,1017.79266,17.450207,0.4,0.37981045
2021-01-08 19:00:00,27.438046,18.95,100.0,81.17422,1018.6887,16.87128,0.2,0.4125147
2021-01-08 20:00:00,26.415268,18.85,100.0,79.870544,1019.18774,16.783554,0.2,0.43835044
2021-01-08 21:00:00,24.72495,18.8,100.0,80.120415,1019.2872,16.980082,0.3,0.431561
2021-01-08 22:00:00,23.664352,18.7,100.0,80.88184,1018.98737,17.054201,0.4,0.41244733
2021-01-08 23:00:00,19.829433,18.25,100.0,85.900734,1018.98505,17.3607,1.0,0.29571903
2021-01-09 00:00:00,17.533146,18.3,100.0,88.12586,1018.58594,17.92766,1.9,0.24982238
2021-01-09 01:00:00,18.971008,18.6,100.0,85.662315,1017.9879,17.956604,0.8,0.30737197
2021-01-09 02:00:00,24.693481,18.9,100.0,81.68896,1017.49023,17.241339,0.4,0.39998615
2021-01-09 03:00:00,27.492311,18.85,100.0,80.64278,1017.09045,16.684841,0.4,0.4215299
2021-01-09 04:00:00,27.757376,18.9,100.0,80.13406,1017.2905,16.676651,0.4,0.43396008
2021-01-09 05:00:00,26.478971,19.15,100.0,78.641594,1017.79083,17.0935,0.3,0.47388566
2021-01-09 06:00:00,27.333935,19.05,100.0,79.642494,1018.48956,16.907831,0.5,0.4488727
2021-01-09 07:00:00,19.353138,18.8,100.0,80.63611,1019.1874,17.80232,0.7,0.42036307
2021-01-09 08:00:00,18.792551,18.4,100.0,85.36886,1019.98474,17.681845,0.8,0.30976987
2021-01-09 09:00:00,19.483284,18.55,100.0,83.49603,1020.3848,17.65134,2.4,0.3527199
2021-01-09 10:00:00,20.730501,18.85,100.0,82.734215,1019.9867,17.828987,2.7,0.37597573
2021-01-09 11:00:00,23.18579,18.95,100.0,82.74624,1019.5876,17.610939,3.2,0.37806034
2021-01-09 12:00:00,22.539564,19.1,100.0,81.97571,1018.48956,17.8551,2.7,0.39865184
2021-01-09 13:00:00,22.380884,19.55,100.0,78.1976,1017.3932,18.208452,1.6,0.49589968
2021-01-09 14:00:00,21.603,19.5,100.0,79.70502,1016.3942,18.371393,1.1,0.46017528
2021-01-09 15:00:00,20.799152,19.35,100.0,80.70929,1016.09393,18.358772,0.5,0.43334723
2021-01-09 16:00:00,19.995398,19.35,100.0,80.19531,1015.994,18.435917,0.2,0.44489658
2021-01-09 17:00:00,17.447933,19.15,96.0,82.243996,1016.39264,18.687895,0.2,0.39393878
